31,ウイニングチケット,1487,1248,1115,1241,1253,S,F,G,F,A,S,F,B,A,G,4,良バ場◎,春ウマ娘◎,冬ウマ娘◎,全身全霊,,
53,ドゥラメンテ,1775,1501,1594,1202,764,S,G,G,A,A,S,G,B,A,A,4,弧線のプロフェッサー,ハヤテ一文字,全身全霊,直線一気,,
27,ライスシャワー,1368,1647,947,1412,838,S,F,E,C,A,A,A,A,B,G,4,コーナー巧者〇,コーナー回復〇,ハヤテ一文字,,,
41,ニシノフラワー,1232,772,809,735,1203,A,D,A,A,C,F,E,A,A,G,4,コーナー巧者〇,ハヤテ一文字,末脚,,,
35,ゴールドシチー,1336,1065,1354,956,1172,A,C,F,A,A,A,D,A,A,F,4,良バ場◎,春ウマ娘◎,全身全霊,迫る影,会心の一歩,
18,セイウンスカイ,1027,1531,1774,1048,904,A,G,G,C,A,S,A,B,C,E,4,右回り◎,春ウマ娘◎,秋ウマ娘◎,冬ウマ娘◎,コーナー回復〇,直線回復
13,エルコンドルパサー,1108,1203,1262,1037,1267,A,A,F,A,A,S,D,A,A,C,4,コーナー巧者〇,コーナー回復〇,直線巧者,全身全霊,王手,
51,トランセンド,1923,1049,1759,1631,1324,F,A,G,S,A,F,A,B,F,G,4,,,,,,
46,メジロドーベル,931,1702,1077,1478,903,A,E,E,A,A,A,B,B,A,G,4,コーナー巧者〇,コーナー回復〇,,,,
22,マヤノトップガン,1437,1703,1305,1201,1234,A,E,D,D,A,A,S,A,A,B,4,全身全霊,,,,,
2,サイレンススズカ,1895,912,1212,1413,1057,A,G,D,A,A,B,A,C,E,G,2,春ウマ娘◎,コーナー巧者〇,末脚,,,
52,ネオユニヴァース,1329,1700,1324,1511,1070,A,F,F,B,A,A,E,A,A,C,4,右回り◎,良バ場◎,円弧のマエストロ,全身全霊,,
13,エルコンドルパサー,1108,1203,1262,1037,1267,A,A,F,A,A,S,D,A,A,C,4,コーナー巧者〇,コーナー回復〇,直線巧者,全身全霊,王手,
54,ナリタトップロード,1850,1266,1351,1297,830,S,G,G,C,A,S,F,A,B,D,4,コーナー回復〇,直線巧者,全身全霊,直線一気,王手,
7,ゴールドシップ,1856,1527,1369,946,1303,A,G,G,C,A,S,G,B,B,A,4,右回り◎,コーナー巧者〇,全身全霊,迫る影,,
49,キタサンブラック,1851,1279,1711,896,1301,S,G,E,C,A,A,A,B,C,G,4,右回り◎,春ウマ娘◎,秋ウマ娘◎,冬ウマ娘◎,弧線のプロフェッサー,王手
阪神,2000,晴れ,良,右,31-4-555-5-3,53-5-455-6-4,27-3-545-9-2,41-2-555-16-2,35-5-555-14-3,18-4-553-11-1,13-5-555-12-2,51-5-155-10-1,46-3-535-13-3,22-3-524-4-1,2-3-255-8-1,52-1-515-2-3,9-3-554-15-2,54-3-455-7-2,7-1-442-1-4,49-3-551-3-1,,,
