23,マンハッタンカフェ,1797,1430,1333,1142,849,A,G,G,F,A,S,G,C,A,C,4,コーナー巧者〇,コーナー回復〇,末脚,会心の一歩,,
50,サトノダイヤモンド,1853,1268,1690,1397,1184,A,F,G,C,A,S,G,B,A,D,4,右回り◎,良バ場◎,弧線のプロフェッサー,ハヤテ一文字,王手,
7,ゴールドシップ,1856,1527,1369,946,1303,A,G,G,C,A,S,G,B,B,A,4,右回り◎,コーナー巧者〇,全身全霊,迫る影,,
13,エルコンドルパサー,1108,1203,1262,1037,1267,A,A,F,A,A,S,D,A,A,C,4,コーナー巧者〇,コーナー回復〇,直線巧者,全身全霊,王手,
18,セイウンスカイ,1027,1531,1774,1048,904,A,G,G,C,A,S,A,B,C,E,4,右回り◎,春ウマ娘◎,秋ウマ娘◎,冬ウマ娘◎,コーナー回復〇,直線回復
24,ミホノブルボン,1635,1381,1435,1178,824,A,F,C,B,A,S,A,E,G,G,4,直線巧者,,,,,
36,サクラバクシンオー,1882,1359,903,931,1322,A,F,A,B,F,F,S,A,E,G,2,弧線のプロフェッサー,全身全霊,迫る影,,,
47,ナイスネイチャ,1573,1258,1324,1073,1149,A,F,G,C,S,S,F,B,A,D,4,左回り◎,弧線のプロフェッサー,全身全霊,,,
10,タイキシャトル,1467,690,1201,888,911,A,S,A,S,E,F,B,A,D,G,4,,,,,,
49,キタサンブラック,1851,1279,1711,896,1301,S,G,E,C,A,A,A,B,C,G,4,右回り◎,春ウマ娘◎,秋ウマ娘◎,冬ウマ娘◎,弧線のプロフェッサー,王手
37,シーキングザパール,1850,905,1237,1259,1324,A,E,A,A,E,B,B,A,A,B,4,コーナー巧者〇,直線巧者,迫る影,王手,,
27,ライスシャワー,1368,1647,947,1412,838,S,F,E,C,A,A,A,A,B,G,4,コーナー巧者〇,コーナー回復〇,ハヤテ一文字,,,
19,タマモクロス,1725,1145,1283,1600,1300,A,F,G,E,A,S,G,A,A,A,4,コーナー巧者〇,末脚,直線一気,王手,,
40,ナリタタイシン,1528,1305,1337,1151,1152,S,G,F,D,A,A,G,F,B,A,4,迫る影,,,,,
28,アイネスフウジン,1254,1285,1008,1354,1088,A,G,G,A,S,C,A,B,F,G,4,右回り◎,,,,,
15,ナリタブライアン,1284,1633,1337,1396,738,A,G,F,B,A,S,G,A,A,D,4,,,,,,
阪神,2000,晴れ,良,右,23-5-455-11-3,50-5-232-2-3,7-2-343-3-4,13-4-555-12-2,18-5-554-13-1,24-3-555-9-1,36-3-555-15-2,47-4-555-6-3,10-2-555-16-2,49-2-451-5-1,37-3-555-14-2,27-2-525-8-2,19-1-114-1-4,40-4-555-4-4,28-2-545-7-1,15-5-555-10-2,,,
